Категория;Тип товара;Модель;Габариты;Цвет;Материал;Особенности;Стиль/Назначение;Цена (₽);ID
Декор;Зеркало;Венеция;50×70 см;белый;МДФ/стекло;с фоторамкой, коллаж 6 фото;-;3400;s756_
Ванная;Корзина для белья;Сиена;35×35×55 см;белый;искусственный ротанг;в ванную;-;3200;s757_
Гостиная;Стеллаж;Лофт;90×35×180 см;-;металл/дерево;5 полок;лофт;9700;s758_
Ванная;Тумба для ванной;Лазурь;100×45×60 см;серый шёлк;МДФ;с двумя ящиками;-;19400;s759_
Кухня;Кофейный столик;Беларус;80×50×45 см;чёрный/белый;металл/мрамор;-;-;8700;s760_
Гостиная;Стеллаж модульный;Конструктор;240×30×220 см;дуб артизан;ЛДСП;стеновой, из 18 кубов;-;36700;s761_
Гостиная;Стеллаж-перегородка;Кокон;-;дуб сонома;ЛДСП;5 ячеек;-;6800;s762_
Гостиная;Кресло-папасан;Бали;D110 см;бежевый;ротанг/велюр;натуральный ротанг;-;18700;s763_
Спальня;Шкаф-купе;Стокгольм;180×60×220 см;дуб артизан;ЛДСП/зеркало;2-дверный;скандинавский;41200;s764_
Гостиная;Диван-канапе;Палаццо;1.5-местный;сапфировый;бархат/металл;ножки золото;классика;42400;s765_
Гостиная;Журнальный столик;Версаль;D90 см;белый/латунь;мрамор/латунь;овальный;классика;38400;s766_
Спальня;Кровать-бокс;Лазурь;140×200 см;графит;велюр/ЛДСП;подъёмное основание;-;42700;s767_
Декор;Часы настенные;Венеция;D45 см;бронза;металл;римские, декоративные;-;3200;s768_
Гостиная;Стеллаж-витрина;-;80×40×200 см;орех/золото;дерево/стекло;стеклянные дверцы;классика;38700;s769_
Спальня;Кровать;Карина;160×200 см;бежевая;рогожка/ЛДСП;с декоративной строчкой;-;34500;s770_
Освещение;Бра;Лофт;-;чёрный;металл;поворотное, E27;лофт;1900;s771_
Декор;Картина-абстракция;Хаос;100×100 см;-;акрил/холст;без рамы, дизайнерская;-;9800;s772_
Кабинет;Кресло-кокон;Гранд;-;графит;рогожка/металл;для учёбы, поворотное, эргономика;-;18700;s773_
Спальня;Кровать;Бордо;140×200 см;чёрный матовый;металл;кованая, кованый узор, ретро;-;38900;s774_
Декор;Поднос декоративный;Флоренция;D40 см;-;дерево/латунь;круглый;классика;2900;s775_
Гостиная;Кофейный столик;-;D70 см;-;мрамор/латунь;круглый, серия Лайт;-;28400;s776_
Детская;Кресло мягкое;Зефир;-;розовый;велюр/ЛДСП;детское, с пуфом, серия мини;детский;14700;s777_
Гостиная;Диван угловой;Стокгольм;280×170 см;серая;рогожка/ЛДСП;левый угол;скандинавский;52400;s778_
Гостиная;Стенка-горка;Венеция;320 см;ясень шимо тёмный/светлый;ЛДСП/стекло;в гостиную;-;48700;s779_
Балкон;Стол складной;Веранда;D60 см;коричневый;искусственный ротанг;круглый;-;4200;s780_
Кухня;Диван кухонный;Карина;150×120 см;серая;рогожка/ЛДСП;угловой;-;15400;s781_
Гостиная;Журнальный столик;-;110×60 см;-;массив дуба;овальный, без серии;-;19400;s782_
Текстиль;Плед;Иней;180×220 см;серебристо-серый;микроплюш;-;-;3100;s783_
Прихожая;Шкаф узкий;Норвегия;50×35×210 см;дуб артизан;ЛДСП/зеркало;с зеркалом;-;14700;s784_
Гостиная;Кресло;Стелла;-;изумрудный;велюр/дерево;каминное, высокая спинка;-;24600;s785_
Гостиная;Шкаф-горка;Тоскана;280 см;состаренный белый;массив сосны;-;классика;52400;s786_
Декор;Шкатулка;Версаль;32×22×14 см;золото;МДФ/зеркало;с патиной и зеркалом внутри;классика;5400;s787_
Ванная;Тумба под умывальник;Полярная;70×45×55 см;белый глянец;МДФ/фурнитура;подвесная, soft-close;-;14700;s788_
Спальня;Кровать;Аделина;160×200 см;тёмно-серый;экокожа/ЛДСП;двуспальная, подъёмный механизм;-;38900;s789_
Кухня;Стул;Берлин;-;графит;велюр/металл;с мягкой спинкой;-;2900;s790_
Спальня;Кровать;Норд;160×200 см;ясень светлый;дерево/ЛДСП;двуспальная;скандинавский;39600;s791_
Кухня;Стул;Дельта;-;-;бук/пластик/металл;обеденный, лак;-;3700;s792_
Детская;Парта-трансформер;Эра;-;голубой;ЛДСП/металл;с пеналом и стулом;детский;17400;s793_
Освещение;Лампа настольная;-;-;белая;LED/пластик;LED;-;18900;s794_
Текстиль;Покрывало плед;Хюгге;130×170 см;молочный;трикотаж;крупная вязка;-;1900;s795_
Кабинет;Шкаф картотечный;Архив;-;серый;металл;2 секции, ключ;-;18900;s796_
Гостиная;Диван угловой;Малибу;-;серый;рогожка/ЛДСП;еврокнижка;-;49900;s797_
Гостиная;Кресло-кокон;-;-;белый;искусственный ротанг/металл;подвесное, с подушками;-;19800;s798_
Текстиль;Подушка декоративная;Прованс;45×45 см;бежевая;лён;с вышивкой;-;1400;s799_
Гостиная;Тумба под ТВ;Меридиан;200×40×45 см;светлый дуб;ЛДСП/шпон;светлый дуб, фасады шпон;-;24800;s800_
Кухня;Бар-витрина;Венеция;100×40×180 см;чёрный/латунь;ЛДСП/стекло/зеркало;с зеркальной задней стенкой;-;42400;s801_
Прихожая;Банкетка;Прага;90×35×45 см;серая;рогожка/ЛДСП;в прихожую;-;5400;s802_
Декор;Подсвечник;Венеция;30 см;цветной;стекло Murano;дизайнерский;-;6700;s803_
Гостиная;Диван-кровать;Айова;200×95 см;тёмно-синяя;рогожка/ЛДСП;еврокнижка;-;37400;s804_
Детская;Шкаф;Зефир;90×50×190 см;розовый/белый;ЛДСП;для одежды, детский;детский;18400;s805_
Декор;Картина;Натура;60×80 см;-;холст/багет;Северный лес;-;3700;s806_
Прихожая;Зеркало напольное;Бергамо;55×170 см;-;шпон ореха/стекло;в раме шпон ореха;-;11400;s807_
Детская;Стол письменный;Авангард;-;белый/мята;ЛДСП/металл;детский растущий, регулируемая столешница;детский;13800;s808_
Спальня;Зеркало-трюмо;Орхидея;80×40×155 см;белый/розовое золото;МДФ/стекло;классическое, с пуфом;-;26700;s809_
Гостиная;Витрина-горка;Кремона;70×70×210 см;светлый ясень/стекло;дерево/стекло;угловая, гранёное стекло;-;54200;s810_
Спальня;Комод;Венеция;100×50×90 см;белый/золото;МДФ/дерево;4-ящичный;классика;28400;s811_
Спальня;Шкаф-купе;Стокгольм;160×60×220 см;дуб артизан;ЛДСП/зеркало;2-дверный;скандинавский;36900;s812_
Гостиная;Журнальный столик;Натура;100×55 см;-;массив бука;со скруглёнными углами;-;18900;s813_
Кабинет;Кресло;Эпсилон;-;чёрный;сетка/ткань/кожа/экокожа;офисное;-;14800;s814_
Спальня;Комод;Барселона;90×40×100 см;чёрный матовый/латунь;ЛДСП/металл;3-ящичный, с дверцей;-;34800;s815_
Текстиль;Подушка декоративная;Иней;50×50 см;серебряный;искусственный мех;-;-;1700;s816_
Спальня;Кровать;Стокгольм;160×200 см;-;массив берёзы;каркасная;скандинавский;46700;s817_
Кабинет;Стол компьютерный;Лофт;140×120 см;графит;ЛДСП/металл;угловой, металлокаркас;лофт;18900;s818_
Декор;Гобелен настенный;Тоскана;80×120 см;-;ткань/дерево;флористика, багет узкий;-;5400;s819_
Гостиная;Шкаф-витрина;Меран;110×40×210 см;орех/золото;дерево/стекло;с витринным стеклом;классика;52800;s820_
Гостиная;Сервант;Луара;120×45×180 см;орех/патина;дерево/стекло/LED;классика, подсветка LED;классика;43900;s821_
Кухня;Модуль кухонный;Палермо-Lux;60×60×90 см;графит/дуб артизан;ЛДСП/МДФ;с встраиваемой духовкой;-;42500;s822_
Кабинет;Стол письменный;-;60×40×60 см;серый;ЛДСП/велюр;эргономический;-;17400;s823_
Гостиная;Диван-кровать;Венский;200×90 см;пыльно-розовая;рогожка/ЛДСП;клик-кляк;-;42700;s824_
Гостиная;Журнальный столик;Орбита;D70 см;-;мрамор каррара/латунь;мраморный, круглый;-;28700;s825_
Ванная;Тумба под умывальник;Капри;60×45×55 см;-;бамбук/металл;эко-стиль;-;13800;s826_
Гостиная;Кресло Lounge;Капри;-;бирюзовая;ротанг/ткань;из ротанга, с подушкой;-;19800;s827_
Гостиная;Диван угловой;Луара;280×170 см;серая;рогожка/ЛДСП;еврокнижка, ниша для белья;-;58900;s828_
Декор;Картина;Северянин;50×70 см;-;холст/дерево;Морошка, масло, натуральный багет;-;4700;s829_
Детская;Шкаф;Феникс;-;мятный/белый;ЛДСП;для игрушек, 3-секционный, открытые полки;детский;15700;s830_
Освещение;Гирлянда LED;-;3 м;тёплый белый;LED/медь;батарейная, медный провод;-;800;s831_
Прихожая;Зеркало напольное;Камея;55×170 см;бронза с патиной;металл/стекло;в раме барокко;классика;15800;s832_
Спальня;Шкаф;Версаль;200×60×240 см;белый/золото;ЛДСП/МДФ;4-створчатый;классика;94700;s833_
Кухня;Стул банкетный;Наполеон;-;серебро;поликарбонат;прозрачный, для свадеб;-;2900;s834_
Спальня;Кровать водяная;Лазурь;180×200 см;белая;экокожа/ЛДСП;раздельное управление сторон;премиум;102800;s835_
Ванная;Шкаф навесной;Лазурь;30×25×70 см;дуб артизан;ЛДСП/зеркало;одностворчатый, с зеркалом;-;5700;s836_
Декор;Ваза декоративная;Венеция;45 см;прозрачное/золото;стекло;с золотой росписью;-;3800;s837_
Освещение;Лампа настольная;Берлин;-;белая;пластик/LED;сенсорная LED;-;2900;s838_
Кабинет;Стол письменный;Берлин;130×60 см;белый/дуб сонома;ЛДСП;с тумбой и 3 ящиками;-;15600;s839_
Спальня;Кровать;Дрезден;140×200 см;графит;велюр/ЛДСП;с мягким изголовьем;-;31500;s840_
Спальня;Кровать;Сириус;120×200 см;серый;велюр/ЛДСП;полутораспальная, с ящиками;-;26700;s841_
Декор;Статуэтка;Журавль;50 см;бронзовая патина;металл;набор 2 шт, дизайнерская;-;6700;s842_
Спальня;Туалетный столик;Камелия;70×35×130 см;белый/розовое золото;МДФ/стекло;серия мини, с зеркалом;-;17900;s843_
Детская;Кровать-чердак;Сириус;90×200 см;серый/голубой;ЛДСП/металл;с диваном и столом;детский;42900;s844_
Гостиная;Шкаф-горка;Лион;320×45×200 см;орех итальянский;дерево/стекло;с витринным стеклом;-;58900;s845_
Гостиная;Шкаф книжный;Бельгия;180×35×220 см;орех итальянский;дерево;открытый, без дверей;-;52400;s846_
Спальня;Шкаф угловой;Прованс;100×100×220 см;белый с патиной;ЛДСП/МДФ;классика;классика;42800;s847_
Гостиная;Кресло-мешок;Облако;100×80 см;бежевая;водоотталкивающая ткань;L;-;3700;s848_
Кабинет;Кресло компьютерное;Бергамо;-;красная;сетка/металл;поясничный упор, газлифт класс 4;-;14900;s849_
Гостиная;Кресло Lounge;Палермо;-;горчичный;велюр/дерево;с пуфом, ножки массив;-;31700;s850_
Гостиная;Кресло-качалка;Прованс;-;белая патина;массив бука;классика;классика;22800;s851_
Кухня;Стол фуршетный;-;180×80×110 см;белая;металл/ткань;складной, для свадеб и банкетов;-;6700;s852_
Гостиная;Кресло-реклайнер;Палермо;-;кофейный;кожа PU/металл;Lounge, поворотное, ручной;-;39800;s853_
Текстиль;Покрывало;-;240×260 см;шоколадный/золото;велюр;евро, с золотой строчкой;-;8700;s854_
Декор;Часы настольные;Тоскана;25×15×30 см;-;дерево/металл;с маятником;-;3800;s855_
Ванная;Тумба под умывальник;Аква;60×45×60 см;белый глянец;МДФ;подвесная;-;13400;s856_
Гостиная;Журнальный столик;Меридиан;D90 см;-;бук бавария;круглый, из массива;классика;27800;s857_
Освещение;Торшер;Лофт;170 см;чёрный;металл/ткань;напольный, абажур цилиндр;лофт;7800;s858_
Спальня;Кровать;Аделина;160×200 см;орех/патина;дерево/ЛДСП;с тумбами в изголовье;классика;46800;s859_
Спальня;Шкаф;Милан;150×55×210 см;дуб сонома;ЛДСП;3-створчатый, распашной;-;33700;s860_
Гостиная;Диван-канапе;Стокгольм;2-местный;молочная;рогожка/бук;ножки бук;скандинавский;38700;s861_
Декор;Подставка под журналы;Флоренция;30×25×40 см;латунь;металл;винтаж;-;3200;s862_
Гостиная;Банкетка;Атриум;150×40×45 см;коричневая;экокожа/металл;ножки металл;-;9700;s863_
Кабинет;Кресло компьютерное;Бергамо;-;бежевая;сетка/металл;поясничный упор, газлифт класс 4;-;14900;s864_
Балкон;Скамья-сундук;Веранда;100×40×45 см;белый;ЛДСП;балконная, с хранением;-;7400;s865_
Прихожая;Вешалка-стойка;Лофт;-;чёрная;металл;напольная, металлическая;лофт;2700;s866_
Гостиная;Стеллаж стеновой;Сканди;180×30×210 см;ясень светлый;ЛДСП/дерево;8 ячеек;скандинавский;19800;s867_
Освещение;Люстра подвесная;Феникс;-;медь/янтарное;металл/стекло;5 ламп;-;13800;s868_
Гостиная;Банкетка;Версаль;200×40×50 см;золотистый;бархат/дерево;ножки резные;классика;22400;s869_
Детская;Стул-трансформер;Школьник;-;-;бук/ткань;детский растущий;детский;5400;s870_
Гостиная;Банкетка;Орхидея;170×40×45 см;пыльно-розовый;бархат/металл;ножки гнутые;-;13700;s871_
Гостиная;Диван-канапе;Аделаида;1.5-местный;фуксия;велюр/металл;ножки золото;классика;38900;s872_
Балкон;Стол-консоль;Терраса;70×35 см;белый матовый;ЛДСП/металл;откидной, настенный;-;3400;s873_
Спальня;Шкаф;Милан;150×55×210 см;ясень шимо тёмный;ЛДСП;3-створчатый, распашной;-;33700;s874_
Спальня;Шкаф-купе;Венский;180×60×220 см;дуб сонома;ЛДСП/зеркало;3 зеркала;-;47800;s875_
Декор;Ваза декоративная;Венеция;40 см;белый кракелюр/золото;керамика;амфора;классика;4200;s876_
Гостиная;Сервант;Лион;150×45×190 см;ясень шимо тёмный;ЛДСП/стекло;с подсветкой, стеклянные дверцы;-;46700;s877_
Кухня;Стол обеденный;Равенна;D120 см;капучино матовый;МДФ/металл;круглый, раздвижной;-;31900;s878_
Гостиная;Журнальный столик;Модерн;110×60 см;прозрачный/хром;стекло/металл;стеклянный;-;11400;s879_
Декор;Зеркало;Облако;90×70 см;неоновый розовый;МДФ/LED/стекло;art, рама с подсветкой LED;-;24800;s880_
Прихожая;Полка-консоль;Лофт;-;-;металл/дерево;для прихожей, с крючками;лофт;3900;s881_
Гостиная;Диван-кровать;Цюрих;240×110 см;оливковый;велюр/ЛДСП;трансформер, аккордеон;-;62800;s882_
Гостиная;Журнальная группа;Палермо;-;серый;мрамор/велюр;стол + 2 пуфа;-;24700;s883_
Ванная;Тумба под умывальник;Адриатика;60×45×55 см;белый глянец;МДФ/фурнитура;с подсветкой, soft-close;-;17800;s884_
Кухня;Стул обеденный;Кантри;-;натуральный;массив сосны/лак;с подлокотниками, лак;-;6700;s885_
Декор;Постер;Скандинавия;40×60 см;пастель;бумага/дерево;абстракция, в раме светлый дуб;скандинавский;1400;s886_
Спальня;Кровать водяная;Бриз;140×200 см;кофейный;экокожа/ЛДСП;полутораспальная, с подогревом;-;72400;s887_
Декор;Картина;Манхэттен;80×120 см;-;холст/дерево;Бруклинский мост, фактурный багет;-;7800;s888_
Спальня;Зеркало-трюмо;Аделина;90×45×170 см;белый/золото;МДФ/стекло/LED;с тумбой и подсветкой;-;31700;s889_
Прихожая;Зеркало напольное;Меран;60×180 см;-;шпон ореха/стекло;в раме шпон ореха;-;14700;s890_
Гостиная;Стеллаж;Лофт;80×35×170 см;-;металл/дуб;напольный, 5 уровней;лофт;7400;s891_
Кабинет;Шкаф книжный;Сканди;120×30×60 см;ясень светлый;ЛДСП/дерево;подвесной, на 3 уровня;скандинавский;8700;s892_
Текстиль;Покрывало;-;220×240 см;бордовый/золото;гобелен;с орнаментом, серия Стандарт;-;7200;s893_
Гостиная;Журнальный столик;Карерра;120×60 см;белый/латунь;мрамор/латунь;прямоугольный;-;42700;s894_
Гостиная;Сервант;Луара;140×45×185 см;орех;дерево/стекло;с подсветкой, стеклянные дверцы;классика;47200;s895_
Освещение;Лампа настольная;Прага;-;зелёный/бронза;металл/стекло;с зелёным стеклянным абажуром, библиотечная;классика;5700;s896_
Гостиная;Диван;Колумбия;240×100 см;белая;экокожа/металл;П-образный, реклайнер ручной;-;78400;s897_
Ванная;Корзина для белья;Лазурь;60×30×60 см;-;бамбук;2-секционная;-;4400;s898_
Гостиная;Диван прямой;Манчестер;220×95 см;серый меланж;шенилл/ЛДСП;еврокнижка;-;38700;s899_
Спальня;Кровать водяная;Лагуна;160×200 см;белая;экокожа/ЛДСП;одноконтурная, премиум;премиум;78400;s900_
Кухня;Стул банкетный;Кьявари;-;золотая отделка;бук/ткань;из бука с подушкой, торжественный;-;3700;s901_
Спальня;Кровать водяная;Морё;180×200 см;графит;экокожа/дерево;с подогревом, скандинавский каркас;скандинавский;88400;s902_
Ванная;Тумба под умывальник;Бергамо;80×45×55 см;белый матовый;МДФ;с двумя ящиками;-;17200;s903_
Кухня;Стол кухонный;Эконом;80×60 см;белый;ЛДСП/металл;металлические ножки;эконом;3700;s904_
Гостиная;Диван прямой;Дублин;200×90 см;зелёная;рогожка/ЛДСП;аккордеон;-;34200;s905_
Гостиная;Шкаф-горка;Палаццо;320×45×210 см;орех/золото;дерево/стекло;классика, с резьбой;классика;67400;s906_
Спальня;Зеркало-трюмо;Стокгольм;70×40×150 см;дуб артизан;ЛДСП/стекло;простое, с тумбой;скандинавский;19700;s907_
Гостиная;Журнальный столик;Палаццо;110×65 см;чёрный/золото;мрамор/металл;овальный;-;39400;s908_
Гостиная;Кресло-реклайнер;Капитан;-;кофейный;кожа PU/металл;электрическое, с массажем;-;67400;s909_
Кухня;Стул обеденный;Венеция;-;-;массив бука/ткань;из массива, мягкое сиденье;-;3400;s910_
Гостиная;Сервант;Палаццо;160×45×190 см;-;массив дуба/LED;с подсветкой LED;классика;72400;s911_
Гостиная;Стенка-горка;Стокгольм;280 см;дуб артизан/белый матовый;ЛДСП/стекло;модульная;скандинавский;44800;s912_
Детская;Туалетный столик;-;70×35×120 см;белый с цветочными ручками;ЛДСП/МДФ;детский;детский;13700;s913_
Детская;Кровать-чердак;Сириус;90×200 см;белый/серый;ЛДСП/металл;подростковая, со столом и шкафом;детский;39800;s914_
Спальня;Кровать;Аврора;140×200 см;пудровый;велюр/ЛДСП;мягкое изголовье капитоне;-;32400;s915_
Гостиная;Стеллаж модульный;Конструктор;200×30×220 см;белый;ЛДСП;стеновой, из 12 кубов;-;28400;s916_
Спальня;Шкаф;Эконом;80×52×200 см;дуб сонома;ЛДСП;2-створчатый;эконом;14200;s917_
Освещение;Бра;Аметист;-;-;хрусталь/латунь;2-рожковое, настенное;-;6800;s918_
Спальня;Шкаф;Милан;150×55×210 см;белый матовый;ЛДСП;3-створчатый, распашной;-;33700;s919_
Кухня;Стол обеденный;Равенна;D120 см;графит матовый;МДФ/металл;круглый, раздвижной;-;31900;s920_
Кухня;Винная стойка;Тоскана;60×15×40 см;дуб артизан;ЛДСП/дерево;настенная, на 8 бутылок;-;3400;s921_
Гостиная;Кресло;Лион;-;горчичный;велюр/дерево;классическое, каретная стяжка, ножки массив;классика;28700;s922_
Детская;Стол письменный;Малыш;-;розовый;ЛДСП/МДФ;детский, с пеналом и ящиками;детский;9800;s923_
Спальня;Тумбочка прикроватная;Бергамо;50×40×55 см;белый патина/золото;МДФ/дерево;классика;классика;7400;s924_
Кухня;Модуль верхний;Палермо;80×30×72 см;серый кашемир;ЛДСП/МДФ;угловой;-;7400;s925_
Гостиная;Кресло Lounge;Бергамо;-;пыльно-розовый;бархат/металл;с подушкой-валиком;-;26700;s926_
Спальня;Кровать водяная;Океания;180×200 см;графит;экокожа/ЛДСП;с системой памяти веса;премиум;112800;s927_
Кухня;Табурет барный;Эконом;-;дуб;ЛДСП;нерегулируемый;эконом;1900;s928_
Освещение;Бра;Полярная;-;белый матовый;металл/LED;LED, регулировка яркости, IP44;-;3400;s929_
Спальня;Туалетный столик;Ариэль;100×40×140 см;белый глянец;МДФ/стекло/LED;с зеркалом и подсветкой LED;-;22800;s930_
Гостиная;Кресло акцентное;Кокон;-;горчичный;велюр/металл;-;-;14900;s931_
Декор;Подставка для цветов;Тоскана;80 см;бежевая;ротанг;из ротанга, 3 уровня;-;4400;s932_
Ванная;Тумба под умывальник;Адриатика;80×45×55 см;белый глянец;МДФ/керамика;с раковиной в комплекте;-;24800;s933_
Гостиная;Тумба под ТВ;Беверли;180×40×50 см;орех/латунь;шпон ореха/металл;ножки латунь;-;24500;s934_
Декор;Картина;-;100×70 см;-;холст/дерево;Тосканские холмы, багет дерево;-;5800;s935_
Кухня;Чехол для стула;Кьявари;-;белый/золото;сатин/ткань;для банкетного стула, с бантом;-;390;s936_
Спальня;Кровать;Меридиан;160×200 см;серый;велюр/ЛДСП;двуспальная, изголовье каретная стяжка;-;42600;s937_
Освещение;Светильник потолочный;Премиум;-;-;хрусталь/латунь;8 ламп E14;классика;28700;s938_
Спальня;Кровать-софа;Сириус;90×190 см;графитовая;рогожка/ЛДСП;подъёмный механизм;-;23700;s939_
Балкон;Стульчик складной;-;-;кофе;искусственный ротанг;для балкона;-;2800;s940_
Гостиная;Стенка-горка;Лион;320 см;ясень шимо/венге;ЛДСП/стекло/LED;модульная, подсветка;-;54600;s941_
Гостиная;Кресло гостевое;Барселона;-;сапфировый;бархат/дерево;с подлокотниками;-;19400;s942_
Гостиная;Сервант;Тоскана;140×45×180 см;состаренный белый;массив сосны;-;классика;42800;s943_
Кухня;Подставка-полка;Венеция;30×15×25 см;дуб артизан;ЛДСП/дерево;настольная, для специй;-;1700;s944_
Спальня;Шкаф-купе;Кёльн;200×60×220 см;дуб сонома;ЛДСП/зеркало;с зеркалом, 3-дверный;-;42800;s945_
Спальня;Кровать;Орхидея;160×200 см;венге;ЛДСП;подъёмный механизм;-;27500;s946_
Прихожая;Шкаф для обуви;Прихожая;60×30×120 см;белый;ЛДСП/МДФ;с откидными секциями;-;7800;s947_
Декор;Зеркало;Каприз;60×80 см;-;МДФ/стекло/кристаллы;art, волнистый контур, патина;-;22400;s948_
Спальня;Кровать;Кокон;120×200 см;серо-голубой;велюр/ЛДСП;полутораспальная;-;26800;s949_
Гостиная;Кресло-реклайнер;Глория;-;беж;рогожка/металл;с поворотной базой, механический;-;28700;s950_
Гостиная;Диван угловой;Прага;-;коричневая;экокожа/ЛДСП;с оттоманкой;-;57800;s951_
Декор;Зеркало;Солнце;D80 см;-;латунь/стекло;art, круглое, с лучами, дизайнерское;-;19700;s952_
Балкон;Шкаф;Альпина;60×50×180 см;белый;ЛДСП;балконный, 2 секции;-;9700;s953_
Кухня;Стол обеденный;Венеция;D110 см;-;массив бука;круглый;-;28700;s954_
Гостиная;Кресло;Бостон;-;графит;рогожка/дерево;с подлокотниками;-;13700;s955_
Гостиная;Банкетка;Альпы;80×35×45 см;серая;рогожка/бук;ножки бук;-;5700;s956_
Спальня;Кровать;Невада;160×200 см;орех;массив сосны;-;-;36700;s957_
Декор;Постер;Стокгольм;50×70 см;чёрно-белый;бумага/дерево;минимализм, в раме;-;1600;s958_
Гостиная;Диван-канапе;Тоскана;2-местный;натуральный;лён/дерево;ножки массив бука;-;42700;s959_
Ванная;Тумба под раковину;Сиена;90×45×55 см;белый матовый;МДФ/фурнитура;подвесная, soft-close;-;16800;s960_
Гостиная;Кресло клубное;Бостон Club;-;тёмно-зелёная;кожа честерфилд/дерево;low-back;-;78400;s961_
Спальня;Кровать-бокс;Балтика;160×200 см;серый;велюр/ЛДСП;пружинный блок независимый;-;54900;s962_
Спальня;Зеркало-трюмо;Тиффани;80×40×160 см;белый/цветной;МДФ/стекло;с витражной отделкой;-;28700;s963_
Гостиная;Диван прямой;Прованс;230×95 см;-;гобелен/дерево;классика, резные ножки, флористика;классика;87400;s964_
Гостиная;Кресло-кокон;Эгг;-;зелёный;велюр/металл;подвесное, chair на ножке;-;47800;s965_
Текстиль;Подушка декоративная;Шанхай;50×50 см;изумрудный;шёлк;с кистями, набор 2 шт;-;4500;s966_
Гостиная;Шкаф книжный;Прованс;80×80×220 см;белый с патиной;ЛДСП/МДФ;угловой;классика;47800;s967_
Гостиная;Сервант;Аделаида;130×45×180 см;ясень шимо светлый;ЛДСП/стекло;с подсветкой;классика;42600;s968_
Гостиная;Кресло-реклайнер;Атлант;-;коричневая;натуральная кожа/металл;электропривод, USB;-;112800;s969_
Гостиная;Витрина-горка;Палермо;80×80×220 см;дуб артизан/стекло;ЛДСП/стекло/LED;угловая, с подсветкой;-;68900;s970_
Спальня;Шкаф-купе;-;240×60×220 см;белый/чёрный венге;ЛДСП/зеркало;3-дверный, зеркало;-;42700;s971_
Хозтовары;Ящик поделочный;Лион;45×30×20 см;орех/золото;дерево;с инкрустацией;-;4400;s972_
Балкон;Стол складной;Патио;80×50 см;кофе;тик/металл;прямоугольный;-;5400;s973_
Ванная;Полка-этажерка;Сиена;60×25×80 см;-;бамбук/металл хром;в ванную, 3-ярусная;-;3900;s974_
Кухня;Стол обеденный;Прага;160×90 см;-;массив дуба/лак;раздвижной, тёмный лак;-;48700;s975_
Освещение;Бра;Сириус;-;чёрный/латунь;металл/LED;поворотное, с диммером;-;3900;s976_
Сад;Кресло-шезлонг;-;-;-;тик;садовое, складное, для террасы;-;18400;s977_
Гостиная;Диван-книжка;Эконом;2-местный;серая;рогожка/ЛДСП;прямой;эконом;15800;s978_
Текстиль;Подушка;Шанхай;60×60 см;чёрный/золото;шёлк;с вышивкой, дракон;-;3700;s979_
Спальня;Кровать;Прима;160×200 см;дуб сонома;ЛДСП;с ящиком, эконом;эконом;21400;s980_
Кухня;Домашний бар;Флоренция;60×40×120 см;орех/золото;дерево/стекло;компактный;классика;28700;s981_
Гостиная;Диван;Стокгольм;3-местный;белый/серый;экокожа/ткань/бук;ножки бук;скандинавский;39700;s982_
Текстиль;Плед;Шотландия;150×200 см;красно-зелёная;шерсть;клетка;классика;4200;s983_
Ванная;Тумба под умывальник;Орхидея;75×45×55 см;белый патина;МДФ/дерево;с одной дверцей;-;13800;s984_
Освещение;Светильник точечный;-;-;чёрный;металл/LED;GU10 поворотный, комплект 4 шт;-;1800;s985_
Кухня;Кухонный уголок;Берлин;130×80 см;бежевый;кожзам/ЛДСП;правый/левый;-;14800;s986_
